id,text_preview,models,title,priority,has_specs,has_prices,size_chars,tags
bmw_718896_ch002_6550,", bezgotówkową likwidację szkody. Korzyści dla ciebie: Utrzymanie wartości fakturowej pojazdu przez 12 miesięcy dla pojazdów fabrycznie nowych. Niezmienna wysokość sumy ubezpieczenia po wypłacie odszk...",,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,1,False,False,471,"cena, silnik"
bmw_718896_ch003_4049,", które zapewni Ci pokrycie straty finansowej powstałej wskutek szkody całkowitej lub kradzieży pojazdu poprzez dopłatę do odszkodowania z umowy Auto-Casco, różnicy pomiędzy wartością początkową pojaz...",,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,1,False,False,379,cena
bmw_718896_ch004_7768,", jeżeli samochód był leasingowany lub kredytowany. Szybko i sprawnie otrzymasz rekompensatę. Wysokość odszkodowania nawet do 200 000 PLN. Rozszerzenie ubezpieczenia o GAP Mobility: W razie szkody cał...",,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,1,False,False,323,"cena, silnik, finansowanie"
bmw_718896_ch005_1316,", przejazdy pociągami, taksówkami i przeloty samolotem. Możesz z nich korzystać przez 3 miesiące od daty szkody. Ubezpieczenie kosztów napraw. Ubezpieczenie Kosztów Napraw BMW to oferta która zapewnia...",,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,1,False,False,457,"cena, zasięg, serwis"
bmw_718896_ch006_6335,", tylko z zastosowaniem oryginalnych części zamiennych. Ochrona nawet do 36 miesięcy. Ochrona we wszystkich krajach Europy. Więcej usług BMW dla Ciebie. BMW Leasing. W BMW Financial Services zawsze st...",,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,1,False,False,335,finansowanie
bmw_718896_ch007_5274,", która zadowoli wszystkich, którzy szukają bezkonkurencyjnej wygody i komfortu. Odkryj teraz BMW Comfort Lease i BMW Leasing Plus. Już teraz masz możliwość skorzystania z rewolucyjnego rozwiązania, k...",,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,1,False,False,359,"cena, finansowanie, serwis"
bmw_718896_ch008_2233,", włącznie z naszym wsparciem w sprawie jego utrzymania. Odkryj teraz Dostawca usług. BMW Financial Services Polska Sp. z o.o. z siedzibą w Warszawie, ul. Wołoska 22A, 02-675 wpisana do rejestru przed...",,Ubezpieczenie samochodu | Oferta ubezpieczeń | BMW Polska,5,True,False,424,cena
bmw_150153_ch000_0304,"Zarejestruj się teraz, aby skorzystać ze spersonalizowanych usług, zaawansowanych funkcji i wygodnych rozwiązań. Zrób pierwszy krok do jeszcze bardziej wyjątkowego BMW. BMW Connected Drive. Oferta ser...",,BMW ConnectedDrive | BMW.pl,1,False,False,465,"cena, serwis"
bmw_150153_ch001_4651,", aby zobaczyć ceny. Driving Assistant Plus Zaloguj się, aby zobaczyć ceny. Wypróbuj bezpłatnieAsystent parkowania ProfessionalZaloguj się, aby zobaczyć ceny. Asystent parkowania Professional Zaloguj ...",,BMW ConnectedDrive | BMW.pl,1,False,False,459,
bmw_150153_ch002_0536,", aby zobaczyć ceny. BMW Drive Recorder Zaloguj się, aby zobaczyć ceny. Wypróbuj bezpłatnieFunkcja FLAZaloguj się, aby zobaczyć ceny. Funkcja FLA Zaloguj się, aby zobaczyć ceny. Wypróbuj bezpłatnieAda...",,BMW ConnectedDrive | BMW.pl,1,False,False,456,
bmw_150153_ch003_8279,", aby zobaczyć ceny. Animacja Welcome LightZaloguj się, aby zobaczyć ceny. Animacja Welcome Light Zaloguj się, aby zobaczyć ceny. Aktywny regulator prędkości z funkcją Stop&GoZaloguj się, aby zobaczyć...",,BMW ConnectedDrive | BMW.pl,1,False,False,494,
bmw_150153_ch004_4433,", aby zobaczyć ceny. Real Time Traffic Information Zaloguj się, aby zobaczyć ceny. Przygotowanie do Apple CarPlayZaloguj się, aby zobaczyć ceny. Przygotowanie do Apple CarPlay Zaloguj się, aby zobaczy...",,BMW ConnectedDrive | BMW.pl,1,False,False,450,cena
bmw_634107_ch000_3688,"Jakość premiumSamochody używane BMW Premium Selection. Odkryj radość z jazdy dzięki samochodom używanym BMW Premium Selection. Zanim używane BMW uzyska certyfikat BMW Premium Selection, musi przejść s...",,Samochody używane BMW Premium Selection.: Rynek używanych samochodów BMW,1,False,False,463,"cena, silnik"
bmw_634107_ch001_4573,", ale zasada. Samochód używany BMW z certyfikatem BMW Premium Selection został sprawdzony podczas kompleksowej kontroli 360°: w ofercie znajdą się tylko te pojazdy, które spełniają wszystkie precyzyjn...",,Samochody używane BMW Premium Selection.: Rynek używanych samochodów BMW,1,False,False,488,"cena, silnik"
bmw_634107_ch002_8281,", które przejdą kompleksową kontrolę 360°. Dzięki specjalistycznej wiedzy BMW i najnowocześniejszemu sprzętowi diagnostycznemu nasi eksperci BMW kompleksowo sprawdzają samochody BMW Premium Selection....",,Samochody używane BMW Premium Selection.: Rynek używanych samochodów BMW,1,False,False,490,"cena, silnik, serwis"
bmw_634107_ch003_9424,jazdy. Dzięki gwarancji BMW Premium Selection możesz jeździć bez obaw – wszędzie w Europie. W razie wystąpienia zdarzenia,,Samochody używane BMW Premium Selection.: Rynek używanych samochodów BMW,1,False,False,121,
bmw_634107_ch004_8167,", ochrona gwarancyjna obejmuje Cię w całej Europie. Leasing i finansowanie Dla wszystkich samochodów BMW Premium Selection otrzymasz atrakcyjne warunki finansowania i leasingu - zarówno jaki Klient in...",,Samochody używane BMW Premium Selection.: Rynek używanych samochodów BMW,1,False,False,426,"cena, silnik, finansowanie"
bmw_634107_ch005_1474,", ochronę samochodu i ubezpieczenie pasażerów, a także wyjątkowo łatwą obsługę w przypadku szkody. Chętnie przedstawimy Ci również korzystną rynkowo ofertę płatności za odkup Twojego obecnego pojazdu....",,Samochody używane BMW Premium Selection.: Rynek używanych samochodów BMW,1,False,False,476,"cena, silnik, serwis"
bmw_634107_ch006_8933,", że po odbiorze Twój samochód nie będzie wymagać serwisowania przez co najmniej 6 miesięcy lub 10 tys. km przebiegu według wskaźnika obsługi serwisowej.",,Samochody używane BMW Premium Selection.: Rynek używanych samochodów BMW,1,False,False,153,"cena, silnik, serwis"
bmw_066884_ch000_1050,BMW serii 1 BMW M135 xDrive 221KW / 301KM Automatyczna 115KW / 156KM Automatyczna 115KW / 156KM Automatyczna 115KW / 156KM Automatyczna 110KW / 150KM Automatyczna 110KW / 150KM Automatyczna 100KW / 13...,,BMW serii 1 : Rynek używanych samochodów BMW,1,False,False,329,silnik
bmw_675159_ch000_2302,BMW serii 2 100KW / 136KM Automatyczna BMW 218d Active Tourer 110KW / 150KM BMW 220i xDrive Gran Coupé 131KW / 178KM Automatyczna 103KW / 140KM Automatyczna BMW M240i xDrive Coupe 285KW / 388KM Automa...,,BMW serii 2 : Rynek używanych samochodów BMW,1,False,False,469,silnik
bmw_393082_ch000_2317,BMW serii 3 BMW 330e Touring 135KW / 184KM Hybryda (Elektryczny/Benzyna) Automatyczna BMW 318i Limuzyna 115KW / 156KM Automatyczna BMW 330i xDrive Limuzyna 180KW / 245KM Automatyczna BMW 318i Limuzyna...,,BMW serii 3 : Rynek używanych samochodów BMW,1,False,False,498,"silnik, zasięg"
bmw_393082_ch001_9061,BMW 330i xDrive Limuzyna 190KW / 259KM Automatyczna BMW 320d Touring 140KW / 190KM Automatyczna BMW 330i xDrive Limuzyna 190KW / 259KM,,BMW serii 3 : Rynek używanych samochodów BMW,1,False,False,134,silnik
bmw_954520_ch000_1438,BMW serii 4 BMW M440i xDrive Coupe 285KW / 388KM Automatyczna BMW 420d xDrive Gran Coupé 140KW / 190KM Automatyczna BMW 420i Gran Coupe 135KW / 184KM Automatyczna 140KW / 190KM Automatyczna BMW 420i C...,,BMW serii 4 : Rynek używanych samochodów BMW,1,False,False,494,silnik
bmw_814590_ch000_0422,BMW serii 5 BMW 520d xDrive Touring 145KW / 197KM Automatyczna BMW 540d xDrive Limuzyna 210KW / 286KM Automatyczna BMW 540d xDrive Limuzyna 210KW / 286KM Automatyczna BMW 540d xDrive 210KW / 286KM Aut...,,BMW serii 5 : Rynek używanych samochodów BMW,1,False,False,497,"silnik, zasięg"
bmw_814590_ch001_0008,(Elektryczny/Benzyna) Automatyczna BMW 530i xDrive 185KW / 252KM Automatyczna BMW 540d xDrive Touring 210KW / 286KM Automatyczna,,BMW serii 5 : Rynek używanych samochodów BMW,1,False,False,128,"silnik, zasięg"
bmw_169610_ch000_3807,BMW serii 6 BMW 640d xDrive Gran Turismo 250KW / 340KM Automatyczna BMW 630d xDrive 195KW / 265KM Automatyczna BMW 620d xDrive 140KW / 190KM Automatyczna (ostatnia strona) (ostatnia strona) 1(bieżąca ...,,BMW serii 6 : Rynek używanych samochodów BMW,1,False,False,260,silnik
